epoch_time,current,status,seconds_time,ect
1647314971,4.700993463,Wash,1239,570
1647314973,4.563626771,Wash,1241,568
1647314975,4.619128465,Wash,1243,566
1647314977,4.602477956,Wash,1245,564
1647314979,4.95352617,Wash,1247,562
1647314981,4.627453719,Wash,1249,560
1647314983,5.043716422,Wash,1251,558
1647314985,4.856398206,Wash,1253,556
1647314987,4.345782623,Wash,1255,554
1647314989,0.450951262,Wash,1257,552
1647314991,4.946588458,Wash,1259,550
1647314993,5.126968963,Wash,1261,548
1647314995,4.800896512,Wash,1263,546
1647314997,4.791183715,Wash,1265,544
1647314999,4.956301254,Wash,1267,542
1647315001,4.6399416,Wash,1269,540
1647315003,4.803671596,Wash,1271,538
1647315005,5.140844386,Wash,1273,536
1647315007,4.712093802,Wash,1275,534
1647315009,4.945200916,Wash,1277,532
1647315011,4.584439906,Wash,1279,530
1647315013,5.000702609,Wash,1281,528
1647315015,4.713481344,Wash,1283,526
1647315017,4.659367193,Wash,1285,524
1647315019,4.524775585,Wash,1287,522
1647315021,3.048430531,Wash,1289,520
1647315023,4.777308292,Wash,1291,518
1647315025,5.122806336,Wash,1293,516
1647315027,4.878598883,Wash,1295,514
1647315029,5.01319049,Wash,1297,512
1647315031,5.03677871,Wash,1299,510
1647315033,4.952138627,Wash,1301,508
1647315035,4.556689059,Wash,1303,506
1647315037,4.642716684,Wash,1305,504
1647315039,4.999315067,Wash,1307,502
1647315041,4.867498544,Wash,1309,500
1647315043,4.936875661,Wash,1311,498
1647315045,5.124193878,Wash,1313,496
1647315047,4.760657784,Wash,1315,494
1647315049,4.83558507,Wash,1317,492
1647315051,4.0599489,Wash,1319,490
1647315053,5.06036693,Wash,1321,488
1647315055,4.651041939,Wash,1323,486
1647315057,4.714868886,Wash,1325,484
1647315059,4.888311679,Wash,1327,482
1647315061,4.942425831,Wash,1329,480
1647315063,4.978501932,Wash,1331,478
1647315065,5.031228541,Wash,1333,476
1647315067,5.015965575,Wash,1335,474
1647315069,4.719031513,Wash,1337,472
1647315071,5.010415406,Wash,1339,470
1647315073,4.760657784,Wash,1341,468
1647315075,4.959076339,Wash,1343,466
1647315077,4.767595495,Wash,1345,464
1647315079,4.444298129,Wash,1347,462
1647315081,4.410997113,Wash,1349,460
1647315083,0.453726347,Wash,1351,458
1647315085,4.755107614,Wash,1353,456
1647315087,5.032616083,Wash,1355,454
1647315089,5.204671334,Wash,1357,452
